taluka,revenue_circle,lat,lon,year,geocode_flag,LST_anom_C,LST_mean_C,NDVI_anom,NDVI_mean,NDVI_peak,SM_anom,SM_mean,SPI30_mean,VHI_mean,cumRain_mm,drySpellDays,tmax_K_mean,tmax_anom_K,claim_ratio,farmers_total,claim_farmers,sum_insured
Wani,Shirpur,20.120056,77.9114342,2025,ok,-3.5923896566359,30.7571396284844,-0.05450003039283786,0.5354199015537766,0.7779483271771551,0.009006081080200729,0.4238133598059697,-905.5742183756216,0.6931746671051261,1237.7697104314498,83.80007578269311,303.08863296724485,-0.7810115639508434,0.0,1334.0,0.0,145020721.22
Wani,Wani,20.0574,78.9565,2021,ok,1.2868304390961038,36.55701242652948,-0.03142477326948558,0.5335554900234626,0.7159563425986238,0.017175857375178544,0.4493304725168891,-900.7229123297072,0.6153152767836927,1351.5613886978692,84.25989102108505,303.9433253419587,-0.45472690361928314,0.05357142857142857,280.0,15.0,20873901.25
Wani,Wani,20.0574,78.9565,2022,ok,-0.32531876988544317,34.94486321754796,-0.08874509506101197,0.4762351682319363,0.7137987837085635,0.008579624489405337,0.44073423963111613,-870.8457332324339,0.6087313874102962,1760.1776219787357,72.21502013740817,304.221348301221,-0.17670394435721193,0.15051546391752577,485.0,73.0,36059772.69
Wani,Wani,20.0574,78.9565,2023,ok,-0.4447716466409498,34.82541034079246,-0.0821921725007337,0.4827880907922146,0.7352523076376463,-0.032781669206722146,0.39937294593498857,-905.9523151580894,0.614795224599383,1280.004891953426,101.59706230751001,305.10957026601886,0.7115180204412744,0.108,1500.0,162.0,143487236.44
Wani,Wani,20.0574,78.9565,2024,ok,-1.077134733153005,34.1930472542804,-0.0725252741031117,0.49245498918983605,0.7606417163092006,0.0035634386385090915,0.43571805378021944,-904.5679228086442,0.635613767719223,1299.0337725053262,70.41374081971094,304.29951804468624,-0.09853420089162558,0.02903443619176232,1481.0,43.0,143762474.73
Wani,Wani,20.0574,78.9565,2025,ok,-4.33335759653827,30.936824390895126,-0.025325955347379293,0.5396543079455686,0.7164881532977255,0.015194667342445603,0.4473492824841566,-883.782592370706,0.747562103694286,1583.2872035348937,71.3444681355129,303.65772963591263,-0.7403226096648242,0.0,484.0,0.0,48684555.95
Yavatmal,AkolaBajar,20.390344,78.1328518,2021,fallback_taluka,-0.1469993874989256,34.25270499379298,0.007105578830913886,0.5504019379280009,0.6948502003190925,0.0022371983471585577,0.3699786325130921,-918.7282615646598,0.6732383754842814,1194.6695924014641,82.67378870243448,302.93034182621176,-0.41912222970413116,0.031487513572204126,921.0,29.0,59027138.99
Yavatmal,AkolaBajar,20.390344,78.1328518,2022,fallback_taluka,-0.03645741314669337,34.3632469681452,-0.08832091962286692,0.45497543947422003,0.6873334538793361,0.015616478996787447,0.3833579131627209,-880.389710596535,0.5942648876502626,1645.6795727353692,71.65095722051527,303.1337556933301,-0.21570836258527892,0.0921875,640.0,59.0,44886096.89
Yavatmal,AkolaBajar,20.390344,78.1328518,2023,fallback_taluka,-0.2158367835465078,34.18386759774542,-0.08821184203615069,0.45508451706093617,0.6519480635821073,-0.03600019621631689,0.33174123794961596,-931.1600283345982,0.5973841957095706,1048.3448752189358,99.51916804537936,304.1260090135261,0.7765449576103998,0.057295645530939646,3927.0,225.0,343613937.23
Yavatmal,AkolaBajar,20.390344,78.1328518,2024,fallback_taluka,-1.3181834510652857,33.081520930226624,-0.038169734713440616,0.5051266243836463,0.6492073001240914,0.009691702189041472,0.37743313635497494,-923.3126090050561,0.6628249895227257,1140.6928434053973,77.48688253368002,303.2937038725428,-0.05576018337301689,0.03456858407079646,3616.0,125.0,325786054.18
