taluka,revenue_circle,lat,lon,year,geocode_flag,LST_anom_C,LST_mean_C,NDVI_anom,NDVI_mean,NDVI_peak,SM_anom,SM_mean,SPI30_mean,VHI_mean,cumRain_mm,drySpellDays,tmax_K_mean,tmax_anom_K,dry_spell_julaug,gdd_surplus,heavy_rain_days,june_rain_mm,lst_anom_augsep,ndvi_slow_greenup,oct_rain_mm,sm_wet_days,farmers_total,area_ha,sum_insured_rs,claim_total_lac,claim_yield_lac,claim_local_lac,claim_prevented_lac,claim_postharvest_lac,claim_midterm_lac,rate_total,rate_yield,rate_local,rate_prevented,rate_postharvest,rate_midterm
Arni,Borgaon,20.5209133,78.0791852,2023,ok,-0.3683534724018508,34.76730514440138,-0.1257319825151107,0.4854275279093047,0.7972314019530283,-0.0326157456138894,0.3547877192867004,-941.396545616634,0.5789938326595159,972.6116519042888,100.28812998913608,304.4382403558581,0.788787398834726,28.607859808228234,0.3225179079634917,1.0807236313825517,0.0,-0.281363475093197,2.9459906245203014,8.456132124899513,79.09262670634357,4431.0,8166.3,365438724.92,383.0,0.0,382.0,0.0,1.0,0.0,0.1048055320584441,0.0,0.10453188837160744,0.0,0.0002736436868366687,0.0
Arni,Borgaon,20.5209133,78.0791852,2024,ok,-0.7117541388843514,34.42390447791889,-0.0896859563356646,0.5214735540887505,0.7568969441131663,0.0073410907143969,0.3947445556149874,-933.3603406657452,0.6079037311631121,1059.1120963585215,78.42525152331018,303.5895274688887,-0.059925488134321,18.720513910538003,-0.0028195508163016384,0.0,47.36202859016467,-1.0392803425061679,2.056406380993988,51.699727279651114,106.68622171838834,4234.0,7807.06,350187549.72,170.0,0.0,150.0,0.0,20.0,0.0,0.04854541520277553,0.0,0.042834189884801935,0.0,0.005711225317973591,0.0
Arni,Borgaon,20.5209133,78.0791852,2025,ok,-4.150043506135954,30.98561511066729,-0.038562494151805,0.5725970162726095,0.774251755245663,0.0151268969567875,0.4025303618573783,-929.7828008526486,0.7157061306572842,1097.9287495876963,87.78163525577442,302.8126120989016,-0.8368408581219593,23.035142411789707,-0.24012359688586163,1.556279816730433,45.38670707142589,-2.7471252718907024,0.8008950394974547,86.42503610384767,110.29186150866751,1932.0,2988.35,173136433.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arni,Jawala,20.1470926,77.9561519,2021,ok,-0.5541396872081884,33.72365400517413,-0.0329781702309554,0.568088168271255,0.793887277462122,0.0034630502005386,0.4248049933424432,-911.274617346996,0.6385351648101244,1174.028653725505,81.93753847610927,303.40938655637643,-0.4831916311685389,26.00246247099493,-0.31744325634820325,0.2939811526258464,165.48957853086475,-1.3544177009751845,0.7220643939393945,58.21737255498348,96.85026282142344,2037.0,3392.4,123182088.57,123.0,10.0,98.0,0.0,15.0,0.0,0.09985217934513546,0.008118063361393127,0.07955702094165264,0.0,0.01217709504208969,0.0
Arni,Jawala,20.1470926,77.9561519,2022,ok,-0.8176226464860769,33.46017104589624,-0.1353162085569232,0.4657501299452863,0.7666847277462131,0.0135800613225712,0.4349220044644761,-878.9261802092971,0.5764098554250309,1536.2475467561176,70.14855329829045,303.63665028891825,-0.2559278986268109,18.762229483354634,0.07683481301812967,5.809584694795659,74.37513724203026,0.36044629485755636,3.0737689393939416,112.10123547065002,109.32784012880619,,,,,,,,,,,,,,,
Arni,Jawala,20.1470926,77.9561519,2023,ok,-0.7438108064342861,33.533982885948035,-0.1038248993713172,0.4972414391308926,0.7974404876893946,-0.0315336000311591,0.3898083431107454,-925.7514334074953,0.5970514804123371,1012.011803657125,101.74177203201208,304.6936507161467,0.8010725286016009,30.143154804186192,0.3304057846038016,1.8098214708528675,7.045653673127648,-1.0070614161493725,2.834647253787881,2.5178320499545164,81.78031917412511,4833.0,8446.8,380671681.55,415.0,0.0,406.0,0.0,9.0,0.0,0.10901782825300366,0.0,0.10665358619450478,0.0,0.0023642420584988745,0.0
Arni,Jawala,20.1470926,77.9561519,2024,ok,-0.2274244692995493,34.05036922308276,-0.0569879173111322,0.5440784211910781,0.8011706948390156,0.0116613337178001,0.4330032768597046,-914.6779898559056,0.6163005522404021,1135.8845563835669,77.40763366008427,303.76531142003887,-0.1272667675058466,16.495430222095937,-0.011478703626899577,0.00913955580811668,61.754847836933614,-1.1762763772391767,1.9152225378787895,40.297485471953024,107.95188710517589,4447.0,7682.71,347225235.33,169.0,0.0,114.0,0.0,55.0,0.0,0.048671577640197666,0.0,0.03283171509457121,0.0,0.01583986254562646,0.0
Arni,Jawala,20.1470926,77.9561519,2025,ok,-3.3190442619602543,30.958749430422063,-0.0560231543166036,0.5450431841856068,0.7827976645359864,0.0099861247830718,0.4313280679249767,-905.6437843483284,0.680175221643523,1237.0716381198763,84.77032722451102,303.0964192012114,-0.7961589863335069,18.762182128143195,-0.2538242786734748,0.8346356016479614,57.67055748673404,-1.866021543061339,1.5668087121212135,91.88769841550176,106.91030922953064,2356.0,3691.47,212926085.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arni,Lonbehel,20.0538582,77.9942367,2021,fallback_taluka,0.1246750715108584,35.35153848401571,-0.053289448715114,0.5562855602671116,0.7858775685215452,0.0034211787690657,0.4235021474882817,-921.2729345247824,0.6202998593189114,1190.7784126854654,83.88243934799091,303.3294780783462,-0.4990214969826718,25.814537528430638,-0.3081433236773536,0.0,159.69353487131903,-0.522752444760011,0.5723236917537254,59.27037658440156,97.19730856709631,1865.0,3132.75,112659953.68,90.0,16.0,58.0,0.0,16.0,0.0,0.07988641665488033,0.014202029627534283,0.05148235739981177,0.0,0.014202029627534283,0.0
Arni,Lonbehel,20.0538582,77.9942367,2022,fallback_taluka,0.196072695296916,35.42293610780175,-0.0957836883779878,0.5137913206042375,0.7777589830147117,0.0140216391493257,0.4341026078685424,-890.0819791270882,0.589957415251553,1544.9490715870584,71.0495166793025,303.57613647942117,-0.2523630959074392,19.357183472327524,0.0773677601670825,4.734789613343443,71.94375689581909,0.9543736134911901,2.3945111695449297,106.73616272488988,109.35201857467781,,,,,,,,,,,,,,,
